ra;dec
354.6849006752989;8.79817948421254
164.6315446838407;-59.24734808607822
189.4431026067465;10.046461514527692
202.20410603093373;-35.94179220155328
280.63556440507494;-13.745891492193152
236.29358805735006;11.794698358625013
310.6329486240182;-43.95395693587741
194.29121837856033;-15.382979981301816
170.11638267814712;-61.458202764064616
132.54547029660097;7.164835114609517
282.1763087602416;-51.07801503797453
27.77797596326672;-84.57206170149112
298.5456088837105;-68.43508754329582
5.944913120118929;-5.68963424406553
344.3257000740802;-65.38274269133866
11.24726890822123;-41.9259933899672
242.9604986052856;3.7304138503939726
24.354692695722896;-83.6020499616067
153.84084985545087;-20.37801824224198
15.26924757815133;-58.422779226827714
32.90914570975075;-79.32820441311162
31.256322533980093;-76.44365092401976
275.8397464353232;-24.32297693610471
60.43343862196289;-23.036324544887336
95.97938856300178;-13.259607929961163
54.79323548194787;-11.815634712435454
116.8762355536553;-32.62813222968099
162.53543974830603;-86.15561886698029
105.19171996804002;-72.90773910391728
151.31745520455468;-81.35544180903499
153.90642507840175;-72.67652089848045
67.89250700482569;-34.27878447758597
249.783214603697;-53.65214649548097
146.9450674851129;-39.380730485228256
164.59302002790452;4.313923502391447
253.2294309566703;18.763764073783506
49.487842585983124;-9.311253680402416
177.93349192713842;18.24923411342816
276.8421702154803;-55.90957153180165
55.96910897261389;-52.77967924229023
242.19901362586097;18.133655313703827
273.91163543102965;-14.086649710934623
300.8586272378613;6.999249989482948
284.07094591349045;-38.506221289573524
63.52672373840487;-10.149772330439745
195.63542962414704;-25.751083284470923
300.04550080506925;1.560446567744009
294.89645156333756;-87.14067305819665
303.744386828278;-11.763682661671027
344.75100083865846;-17.621217166792306
13.116955213451412;-40.12887983190408
328.83570940709717;-88.74611789579166
94.51049412869757;-48.45291487622949
351.8344980474309;17.841382273387012
143.77428962557929;-61.44338719358491
45.35149435068757;-4.675774167046015
120.66177054409263;-49.18965991722581
91.8752931170584;-55.00401432295244
237.5839208341358;-52.11806154494782
120.11284347832061;3.0919031430852186
166.63337381144737;-87.68732234197395
9.341002554100895;-18.538640247399968
91.43171786178013;0.30929214898252155
230.57052792999875;-48.18576324315318
50.92218676988426;18.85001286636907
349.9070690858313;-65.26312596703899
92.00627376548064;18.85891404506981
283.64779456487224;19.980709274641995
42.10072649774067;-3.1856860441529733
216.4223562776968;14.942225640385232
66.04079636745209;-29.52294346497404
60.49819903223103;-21.177825292605604
276.69887617774447;-34.15794269608341
239.80396693395974;-74.9074312228397
213.20348814038803;-46.217624339031495
89.15322942378174;-8.10456464712199
343.5602950416624;-44.708495499666796
198.53258754635868;-74.50115310970439
193.04226704131676;-26.1248331403934
239.9769350878055;-13.78051101117471
210.65067038328942;-65.98362845330811
303.8045835625598;-87.94392607231889
75.20420664925479;-27.26524769360065
304.7115836205352;-26.07247513287546
16.87290767056077;-70.34436385920097
220.4095863795112;-65.45339571234013
87.73387186399597;-39.53246959232522
236.28991948029756;-67.41150551011044
196.25983371087273;-57.47002662869288
152.8809463208652;-21.474896605845842
316.7219508218928;-42.856099416302015
352.71293651640525;-3.8858092553061567
315.02381290648833;1.6665531406149654
203.82499960340402;-27.704085128912915
113.3849344496575;1.7321056910800365
289.61603278004003;-72.17831707979956
72.99523968394465;-37.450013923047564
115.18686939060107;-65.82794776265752
322.1752671665825;-69.15941170898184
203.12182880938835;-8.453684474751455
326.0253477020575;-48.10545203304148
71.49451363873133;17.547648612354905
358.5665826102115;0.43617827561647005
270.4031035800118;-13.807985077336141
300.62179948589295;5.854495284499848
144.26756364353315;-1.3440495925084122
292.5341588644613;-68.79891674266739
30.142201629567307;-4.3710766049732115
87.96250233900363;3.3815172369578477
48.296569707236074;-88.28359973490834
248.5569082133103;-73.04933622397449
78.65400189153974;10.800269764488732
312.03225980794866;-24.330006290067843
116.60586063248464;10.977219243297881
62.01700275525371;-17.42258626952689
300.82952474401276;-39.55340824957438
256.3457080226631;-20.887586755665907
66.88229085424575;-39.85451696416891
124.36980457969229;-31.31402039115671
234.68938135392526;-37.640564930158426
17.061353606980838;-75.27787651879515
309.4164046782361;-17.21674800085725
301.37380109565765;-65.14219707124576
93.66534226269273;-47.384577448259094
291.9575629992182;-30.6745086591146
119.74238176602032;-0.25850622377485877
222.9386552251474;-39.98226505815515
145.52356987316736;-16.31187521256524
202.14076918761086;-48.6997155214208
33.06789809607843;-27.546964259886067
343.1734838452893;-8.225457185864187
176.6788918691366;3.5145201072792247
192.89340115249297;-86.37147613603999
242.57039462483414;-23.049028957244573
200.60474922083907;-36.00842304018137
45.762256094310274;-24.81576784300519
30.601853532911303;-68.58959060085428
300.2691190268026;-53.09736848582747
43.81844785283762;-21.614803638545453
94.29343601695385;-37.60507251962482
156.65380886509934;-22.501955446594906
217.06327448960732;-74.09664104174539
80.21753389189719;-72.55796225831588
121.00648392620755;-6.30841150761556
129.7799278966048;-8.481653710723847
170.0756316597631;-75.94189528636906
14.823858321832235;-34.741024345784325
322.4558271883398;-17.48434987613382
69.02774051752351;-57.103891148279054
179.12964219100763;6.712111239071106
195.46313439487912;-36.576910841724235
291.9737323178242;-37.00382500287538
323.8796628925108;-35.6881304757903
226.2159957754742;10.391811667758788
278.306419486235;8.980893697248788
275.33960751762123;-84.72300722289627
263.38932256816923;18.439167912957856
181.12436601779058;-68.01571663132637
81.67066144570336;1.4377325828312735
63.11344825152274;-79.35908378935227
347.072120414291;-6.569916035932778
156.52827185028056;1.5722385952360867
176.09515970670546;-33.066318087445296
139.4241760586897;-53.47833620113373
204.6445055085925;-26.13245935494637
251.77413752062995;-8.822358455903043
281.7350738546048;3.3666457228505777
352.19375583487215;-75.9796467382018
40.562739947252815;-30.900738058099925
180.59683361181317;-17.0830712740634
203.42584855898323;-11.94278855764071
313.08854575854707;-6.242958336428458
33.57451743164202;-26.03933239941182
359.85839190951725;-20.583024999192205
51.3212128515828;-88.44723215971011
296.5993356840491;-27.329669058206953
105.07764169533948;-16.882655467490537
138.76086169362418;-71.206079754387
128.33663594114142;-89.01924440843233
288.9609478842526;-12.552103757922225
249.07051239499228;-86.78787559400801
23.286891476501893;2.3525591502438488
287.1078627198778;-48.76974246071009
36.210239507161674;-38.19335795296211
347.90563597644933;-39.66936128264477
198.50023848444712;-44.73047114230914
203.73399504325437;-69.6426954880911
145.05113229440002;-55.78771542588355
33.73943635682688;-89.52474194152157
144.18578651004546;11.307115338916802
216.45078052075357;-67.68702163216416
120.97866007411547;-38.081268354079505
333.87842402582197;-63.20876710367949
226.3355854185664;-73.0673801404954
169.7701339549782;-27.28223553647959
226.22549938335635;-3.6960227566370207
96.76239858786397;-79.96011215030632
213.59696624159017;-22.163226510988153
22.21694184607495;-71.93995846971093
357.62392885902045;-56.37374821131173
134.28814016733452;2.56874103566075
92.2769466632675;7.557327719763464
137.13617744360445;17.144700361427965
94.01607532279125;-12.092099340864834
112.64356383773092;-35.28855104627752
0.20316951517646675;-47.658428856679045
197.38296033740127;-49.52049359438355
300.7085410286845;-26.18115571917067
51.03333114267308;-49.93236081532828
215.70007610346084;-59.91711741160172
120.55759462461033;-87.80398736525275
159.5656256450693;-13.954558253277995
115.53460424898594;9.314949854827276
41.44052938948127;-42.74981629539465
89.43247311684497;-57.664024359620726
338.8973599729026;11.490607856375888
233.22495418768278;0.9378320322417721
126.39005147691488;-72.67920491596264
